show,year,genre,rating,votes,runtime,gross
"Alien Warfare",2019,"Action,Sci-Fi",2.6,3185.0,88.0,""
"Alien Worlds",2020,"Documentary,Animation,Sci-Fi",6.5,3006.0,0.0,""
"Alien Xmas","2020 TV Special","Animation,Short,Adventure",6.2,997.0,40.0,""
"Aliens on the Moon: The Truth Exposed","2014 TV Movie",Sci-Fi,3.5,993.0,86.0,""
"Aliens: Zone of Silence",2017,"Horror,Mystery,Sci-Fi",3.5,523.0,79.0,""
"Alive Inside",2014,"Documentary,News",8.2,3058.0,78.0,0.15
"All About The Washingtons",2018,"Comedy,Music",4.5,653.0,25.0,""
"All Because of You",2020,"Action,Comedy,Romance",4.0,191.0,101.0,""
"All Day and a Night",2020,Drama,5.8,3301.0,121.0,""
"All Hail King Julien",20142017,"Animation,Adventure,Comedy",7.1,1708.0,23.0,""
"All Hail King Julien: Exiled",2017,"Animation,Short,Adventure",7.5,474.0,23.0,""
"All Hail King Julien: Happy Birthday to You!","2017 TV Special","Animation,Short",4.4,7.0,1.0,""
"All Quiet on the Western Front",2022,"Action,Drama,History",0.0,0.0,0.0,""
"All Together Now",2020,Drama,6.5,3578.0,92.0,""
"All in My Family",2019,"Documentary,Short,Family",6.8,588.0,39.0,""
"All on the Line",2011,Reality-TV,7.8,44.0,60.0,""
"All the Bright Places",2020,"Drama,Romance",6.5,24223.0,107.0,""
"All the Queen's Men",2001,"Action,Comedy,Drama",4.9,2590.0,99.0,0.02
"All the Right Moves","","Game-Show,Reality-TV",0.0,0.0,0.0,""
"Alles is zoals het zou moeten zijn",2020,"Comedy,Drama",5.7,665.0,108.0,""
"Alles ist gut",2018,Drama,6.5,1293.0,90.0,""
"Alles voor elkaar",2017,Comedy,5.4,293.0,93.0,""
Alma,2021,"Drama,Horror,Mystery",0.0,0.0,0.0,""
"Alma Matters - Inside the IIT Dream",2021,Documentary,8.5,2107.0,150.0,""
"Along Came Jones",1945,"Comedy,Romance,Western",6.5,1983.0,90.0,""
"Along for the Ride",II,"Drama,Romance",0.0,0.0,0.0,""
